Date,Sample_ID,.,Sex,Age,Genotype,Replicate,Average_diameter,Circumference,Circumference_true,Date_ID
29.04.2021,D,26.3,M,52wks,Tm1b Het,8,75.00999999999999,4419.042844895558,0.004419042844895558,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,9,96.04966666666667,7245.720968159778,0.007245720968159778,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,10,106.18166666666667,8855.007985521097,0.008855007985521097,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,,,,,210429
30.04.2021,A,109.3,M,8wks,oim Wt,1,106.254,8867.076554984265,0.008867076554984265,210430
30.04.2021,A,109.3,M,8wks,oim Wt,2,104.13333333333334,8516.662207005707,0.008516662207005707,210430
30.04.2021,A,109.3,M,8wks,oim Wt,3,128.67033333333333,13003.094938866996,0.013003094938866996,210430
30.04.2021,A,109.3,M,8wks,oim Wt,4,111.41633333333333,9749.618117639053,0.009749618117639053,210430
30.04.2021,A,109.3,M,8wks,oim Wt,5,103.30933333333333,8382.411933331643,0.008382411933331642,210430
30.04.2021,A,109.3,M,8wks,oim Wt,6,142.55800000000002,15961.47672920982,0.01596147672920982,210430
30.04.2021,A,109.3,M,8wks,oim Wt,7,101.31400000000001,8061.740336642662,0.008061740336642663,210430
30.04.2021,A,109.3,M,8wks,oim Wt,8,86.36399999999999,5858.081086816571,0.005858081086816571,210430
30.04.2021,A,109.3,M,8wks,oim Wt,9,109.62633333333333,9438.862474704925,0.009438862474704926,210430
30.04.2021,A,109.3,M,8wks,oim Wt,10,99.40033333333332,7760.068643511171,0.007760068643511171,210430
30.04.2021,A,109.3,M,8wks,oim Wt,,,,,210430
30.04.2021,B,105.1,M,8wks,oim Het,1,92.08833333333332,6660.381521432423,0.006660381521432423,210430
30.04.2021,B,105.1,M,8wks,oim Het,2,88.85366666666668,6200.6981425897275,0.0062006981425897275,210430
30.04.2021,B,105.1,M,8wks,oim Het,3,99.08366666666666,7710.7038033076415,0.007710703803307641,210430
30.04.2021,B,105.1,M,8wks,oim Het,4,88.06666666666666,6091.342206458873,0.006091342206458873,210430
30.04.2021,B,105.1,M,8wks,oim Het,5,75.82533333333333,4515.631955420469,0.004515631955420469,210430
30.04.2021,B,105.1,M,8wks,oim Het,6,106.27999999999999,8871.416574129009,0.008871416574129008,210430
30.04.2021,B,105.1,M,8wks,oim Het,7,106.98633333333333,8989.726691603759,0.008989726691603759,210430
30.04.2021,B,105.1,M,8wks,oim Het,8,93.47633333333334,6862.671623399771,0.006862671623399771,210430
30.04.2021,B,105.1,M,8wks,oim Het,9,88.97766666666666,6218.017024511445,0.006218017024511445,210430
30.04.2021,B,105.1,M,8wks,oim Het,10,97.52066666666667,7469.356780847768,0.007469356780847768,210430
30.04.2021,B,105.1,M,8wks,oim Het,,,,,210430
30.04.2021,C,161.3,M,8wks,oim Hom,1,106.32066666666667,8878.206938503254,0.008878206938503254,210430
30.04.2021,C,161.3,M,8wks,oim Hom,2,92.48533333333334,6717.932157500605,0.006717932157500605,210430
30.04.2021,C,161.3,M,8wks,oim Hom,3,92.53833333333334,6725.633971643812,0.006725633971643812,210430
30.04.2021,C,161.3,M,8wks,oim Hom,4,108.89699999999999,9313.688581253271,0.009313688581253272,210430
30.04.2021,C,161.3,M,8wks,oim Hom,5,84.27433333333333,5578.025979592902,0.005578025979592902,210430
30.04.2021,C,161.3,M,8wks,oim Hom,6,90.36166666666668,6412.9572762179405,0.00641295727621794,210430
30.04.2021,C,161.3,M,8wks,oim Hom,7,87.847,6060.992560991479,0.006060992560991479,210430
30.04.2021,C,161.3,M,8wks,oim Hom,8,124.09733333333334,12095.248065553697,0.012095248065553697,210430
30.04.2021,C,161.3,M,8wks,oim Hom,9,102.64499999999998,8274.951927597813,0.008274951927597812,210430
30.04.2021,C,161.3,M,8wks,oim Hom,10,124.133,12102.201626328777,0.012102201626328777,210430
30.04.2021,C,161.3,M,8wks,oim Hom,,,,,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,1,137.56933333333333,14863.912727211356,0.014863912727211357,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,2,116.73666666666668,10702.973686918429,0.01070297368691843,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,3,121.74266666666666,11640.603646342117,0.011640603646342116,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,4,118.36633333333333,11003.890764084003,0.011003890764084003,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,5,133.93366666666668,14088.650592853664,0.014088650592853665,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,6,123.89266666666667,12055.384956622986,0.012055384956622986,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,7,104.25166666666667,8536.02925523212,0.00853602925523212,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,8,109.91566666666667,9488.751609023228,0.009488751609023228,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,9,128.361,12940.649219646382,0.012940649219646383,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,10,116.92933333333333,10738.332036821623,0.010738332036821624,210430
30.04.2021,D,33.1,M,52wks,Tm1b Het,,,,,210430
06.05.2021,A,57.1,M,52wks,Tm1b Wt,1,143.67,16211.457604620184,0.016211457604620182,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,2,114.54733333333333,10305.2812238148,0.0103052812238148,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,3,156.252,19175.25072556423,0.01917525072556423,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,4,148.04333333333332,17213.436886303432,0.017213436886303432,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,5,120.37366666666667,11380.277722831564,0.011380277722831565,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,6,100.16000000000001,7879.134481396186,0.007879134481396186,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,7,116.31866666666667,10626.462452456577,0.010626462452456577,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,8,112.01933333333334,9855.436152868258,0.009855436152868258,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,9,129.138,13097.789110429163,0.013097789110429163,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,10,137.653,14881.99803984356,0.01488199803984356,210506
06.05.2021,A,57.1,M,52wks,Tm1b Wt,,,,,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,1,144.50300000000001,16399.990948555824,0.016399990948555824,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,2,152.507,18267.09290107527,0.01826709290107527,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,3,146.81066666666666,16927.97866374333,0.01692797866374333,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,4,139.28866666666667,15237.771040023194,0.015237771040023194,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,5,137.45666666666668,14839.576173422405,0.014839576173422405,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,6,105.46199999999999,8735.381719795274,0.008735381719795274,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,7,90.907,6490.595334689319,0.00649059533468932,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,8,120.52766666666666,11409.415056404605,0.011409415056404604,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,9,102.14299999999999,8194.210187816723,0.008194210187816723,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,10,129.41266666666667,13153.564357177842,0.013153564357177842,210506
06.05.2021,B,59.2,M,52wks,Tm1b Wt,,,,,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,1,151.44933333333333,18014.599579438953,0.018014599579438954,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,2,139.9813333333333,15389.699261856918,0.015389699261856918,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,3,118.877,11099.04352832478,0.011099043528324781,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,4,138.13166666666666,14985.677608748694,0.014985677608748695,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,5,153.20766666666668,18435.32838930699,0.01843532838930699,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,6,124.10766666666666,12097.262442982203,0.012097262442982202,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,7,154.291,18696.963018024744,0.018696963018024745,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,8,108.854,9306.33466812772,0.00930633466812772,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,9,106.96866666666666,8986.75798733888,0.00898675798733888,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,10,135.42166666666665,14403.438754796405,0.014403438754796405,210506
06.05.2021,C,61.2,M,52wks,Tm1b Wt,,,,,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,1,173.646,23682.058447432126,0.023682058447432125,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,2,133.02333333333334,13897.78324454395,0.013897783244543951,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,3,133.90033333333335,14081.638715130488,0.014081638715130488,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,4,147.60600000000002,17111.887017718942,0.017111887017718944,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,5,101.315,8061.899481087112,0.008061899481087112,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,6,116.129,10591.836152721062,0.010591836152721062,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,7,106.016,8827.398035565904,0.008827398035565905,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,8,130.03033333333335,13279.423857585783,0.013279423857585784,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,9,102.54133333333334,8258.245736441426,0.008258245736441426,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,10,118.90466666666667,11104.210369190128,0.011104210369190128,210506
06.05.2021,D,36.1,M,52wks,Tm1b Het,,,,,210506
07.05.2021,A,68.3,F,18wks,Tm1b Wt,1,159.76266666666666,20046.588849668133,0.02004658884966813,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,2,109.58533333333332,9431.803568648718,0.00943180356864872,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,3,110.58433333333335,9604.551499632715,0.009604551499632715,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,4,89.28433333333334,6260.95239638187,0.00626095239638187,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,5,99.79700000000001,7822.126834013464,0.007822126834013465,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,6,115.175,10418.527039826755,0.010418527039826755,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,7,118.10666666666667,10955.664052998432,0.010955664052998432,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,8,125.81466666666667,12432.326983479756,0.012432326983479756,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,9,150.01733333333334,17675.542982860767,0.017675542982860767,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,10,139.21366666666668,15221.365898440556,0.015221365898440555,210507
07.05.2021,A,68.3,F,18wks,Tm1b Wt,,,,,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,1,132.04566666666668,13694.247997199296,0.013694247997199297,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,2,141.328,15687.23157130229,0.01568723157130229,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,3,94.35433333333334,6992.195817032664,0.006992195817032664,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,4,92.02366666666667,6651.030642108448,0.006651030642108448,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,5,99.44166666666666,7766.523676030898,0.007766523676030898,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,6,113.77266666666667,10166.366363634172,0.010166366363634171,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,7,109.84566666666667,9476.669598692226,0.009476669598692226,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,8,139.99533333333332,15392.777766094037,0.015392777766094037,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,9,117.51866666666668,10846.848947017086,0.010846848947017085,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,10,85.14833333333333,5694.324135174825,0.005694324135174825,210507
07.05.2021,B,64.2,F,18wks,Tm1b Het,,,,,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,1,70.04733333333333,3853.657332117895,0.000129787,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,2,100.839,7986.3243040531515,0.000134917,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,3,83.48733333333334,5474.331091845658,9.037900000000001e-05,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,4,124.17833333333333,12111.042681015613,9.6607e-05,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,5,87.67233333333333,6036.9143134883625,0.00010926399999999999,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,6,92.729,6753.3776158268365,0.00010926399999999999,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,7,82.335,5324.255167090384,0.00011809,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,8,98.14266666666667,7564.941774132474,0.00013441999999999998,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,9,112.58566666666667,9955.339818961029,0.00013370500000000002,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,10,,,,210507
07.05.2021,C,121.4,F,18wks,Tm1b Hom,,,,,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,1,127.55866666666667,12779.38115342014,0.012779381153420139,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,2,122.88133333333333,11859.3725306565,0.0118593725306565,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,3,137.12833333333333,14768.768281297058,0.014768768281297058,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,4,130.18966666666665,13311.987816325078,0.013311987816325078,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,5,183.31833333333336,26393.785423230143,0.026393785423230145,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,6,104.906,8643.517931489574,0.008643517931489575,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,7,133.4716666666667,13991.621511004269,0.01399162151100427,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,8,168.47133333333332,22291.634180286757,0.02229163418028676,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,9,112.17166666666667,9882.258884281644,0.009882258884281644,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,10,135.13933333333333,14343.443454370916,0.014343443454370915,210507
07.05.2021,D,61.3,M,52wks,Tm1b Wt,,,,,210507
10.05.2021,A,106.1,F,18wks,Tm1b Wt,1,92.22700000000002,6680.455036266751,0.006680455036266752,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,2,110.97866666666668,9673.171482961545,0.009673171482961545,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,3,143.018,16064.650527528596,0.016064650527528597,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,4,103.56466666666667,8423.898100030141,0.008423898100030141,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,5,160.739,20292.3528630853,0.0202923528630853,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,6,154.285,18695.508887882734,0.018695508887882732,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,7,133.23833333333334,13942.744350700328,0.013942744350700328,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,8,126.78666666666668,12625.164613299896,0.012625164613299896,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,9,146.21,16789.742502418547,0.016789742502418548,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,10,119.46433333333334,11208.988126225955,0.011208988126225955,210510
10.05.2021,A,106.1,F,18wks,Tm1b Wt,,,,,210510
10.05.2021,B,68.5,F,18wks,Tm1b Het,1,111.30066666666669,9729.385528173454,0.009729385528173455,210510
10.05.2021,B,68.5,F,18wks,Tm1b Het,2,101.57800000000002,8103.809001743025,0.008103809001743024,210510
10.05.2021,B,68.5,F,18wks,Tm1b Het,3,86.356,5856.995855050316,0.005856995855050316,210510
10.05.2021,B,68.5,F,18wks,Tm1b Het,4,122.61266666666667,11807.57076645636,0.01180757076645636,210510
